,Dist,Year,Yield,Rain,N_TC,P_TC,K_TC,NPK_TC
0,901.0,1966.0,0.41025443528717037,1145.0,5.209376363963131,1.7022259878302395,0.7291586433541297,7.640760995147501
1,901.0,1967.0,0.7852944592867929,1061.0,8.453943547450343,3.7774422116389825,0.9222906260889767,13.153676385178303
2,901.0,1968.0,0.8243090243090243,1212.0,8.855588855588856,6.726606726606727,1.4208014208014208,17.002997002997002
3,901.0,1969.0,0.6132057293339329,1563.0,23.212794656047272,13.1757552401139,5.9263065493394995,42.31485644550067
4,901.0,1970.0,0.8133019976498237,1428.0,16.10810810810811,8.105757931844888,3.936545240893067,28.150411280846065
5,901.0,1971.0,0.8346708393875041,1392.0,-0.002235386162959651,-0.002235386162959651,-0.002235386162959651,-0.002235386162959651
6,901.0,1973.0,0.7442252221068419,1665.0,13.56640129225799,3.6298603899850006,2.2545286719741546,19.450790354217144
7,901.0,1974.0,0.8466498594007563,1803.0,20.32871133520799,4.024047318917871,3.7792107049355184,28.13196935906138
8,901.0,1975.0,0.8249516671838079,1280.0,17.354464520132705,3.405971787956178,2.3295224001718497,23.089958708260735
9,901.0,1976.0,0.8415832554321805,1247.0,22.804897512483187,3.9398983104949954,2.2184728333979344,28.963268656376115
10,901.0,1977.0,0.8148021282912014,1392.0,23.004726998698363,4.18350802676349,2.4959466557055103,29.684181681167363
11,901.0,1978.0,0.8607888631090487,1455.0,27.946635730858468,5.169373549883991,2.9327146171693736,36.048723897911835
12,901.0,1979.0,0.8558139534883721,1248.0,26.6046511627907,5.034883720930233,2.609302325581395,34.24883720930232
13,901.0,1980.0,1.1873536299765808,1368.0,30.194379391100703,6.9110070257611245,3.911007025761124,41.01639344262295
14,901.0,1981.0,0.9858823529411764,1527.0,32.32941176470588,7.115294117647059,3.5247058823529414,42.96941176470588
15,901.0,1982.0,0.7977833181111302,942.0,35.48665794475574,8.113845622176692,4.201328034361038,47.80183160129347
16,901.0,1983.0,1.1947710843373494,1155.0,47.75903614457831,13.918072289156626,8.32289156626506,70.0
17,901.0,1984.0,1.1513432694133283,1548.0,52.712644769318395,14.780710081640402,7.103189671539775,74.59654452249858
18,901.0,1985.0,1.2191812865497078,1734.0,60.72982456140351,17.621052631578948,7.574269005847953,85.9251461988304
19,901.0,1986.0,1.1535714285714285,1754.0,67.93333333333334,16.16190476190476,6.795238095238095,90.89047619047619
20,901.0,1987.0,1.0940360856812728,1491.0,63.39880899475602,15.083103724113412,6.341658519242734,84.82357123811217
21,901.0,1988.0,1.3975432490531272,951.0,86.31180264100728,22.0698126727403,9.962125089569046,118.34374040331662
22,901.0,1989.0,1.277767983074753,1281.5,-0.002203808180535966,-0.002203808180535966,-0.002203808180535966,-0.002203808180535966
23,901.0,1990.0,1.1830188679245284,1102.0,-0.0022197558268590455,-0.0022197558268590455,-0.0022197558268590455,-0.0022197558268590455
24,901.0,1991.0,1.141059823362773,994.0,-0.002082986168971838,-0.002082986168971838,-0.002082986168971838,-0.002082986168971838
25,901.0,1992.0,0.9900782376852136,881.0,92.46033480484287,20.516630971633376,5.107303640893396,118.08426941736964
26,901.0,1993.0,1.4830658774760144,1255.0,115.57939272206671,14.13064381717558,3.305626188593773,133.01566272783606
27,902.0,1966.0,0.21481678173127988,636.0,3.919941582580988,1.2812002124269783,0.4248539564524695,5.625995751460436
28,902.0,1967.0,0.6040841657308351,1081.0,6.628642354749099,2.2164430521898457,0.6856197174773923,9.530705124416336
29,902.0,1968.0,0.6514914113277623,987.0,8.005454967502322,2.1616759517177346,0.832753017641597,10.999883936861654
30,902.0,1969.0,0.5225380159304851,1328.0,12.822833695389814,3.31281679942071,1.8766594255370506,18.012309920347576
31,902.0,1970.0,0.8777242777496198,933.0,15.484034465281297,0.5131779016725798,1.8563101875316776,17.853522554485554
32,902.0,1971.0,0.6477923517457972,849.0,21.109674241024695,2.3893096865570542,1.0653365355009545,24.564320463082705
33,902.0,1972.0,0.5851037083595223,998.0,21.19107479572596,2.9635449402891263,3.981772470144563,28.13639220615965
34,902.0,1973.0,0.7553739823112517,1549.0,17.79124934106484,4.296257248286769,4.070754993264218,26.15826158261583
35,902.0,1974.0,0.6081039377854586,1677.0,24.46302925564745,3.113813109492655,2.410196272065177,29.98703863720528
36,902.0,1975.0,0.7264722394586769,1191.0,29.701858582276984,4.151523210117307,2.680022456638005,36.533404249032294
37,902.0,1976.0,0.9358308704103098,1247.0,32.44135580584179,3.5119951007801475,2.220624650531193,38.17397555715313
38,902.0,1977.0,0.7613411061462432,1184.0,46.713816470866746,9.89554049655254,5.208179208711863,61.81753617613115
39,902.0,1978.0,0.9265536723163842,1344.0,45.048022598870055,9.477401129943503,5.121468926553672,59.64689265536723
40,902.0,1979.0,0.8836565096952909,1160.0,40.65650969529086,7.573407202216067,5.083102493074792,53.313019390581715
41,902.0,1980.0,0.8441558441558441,1274.0,38.0025974025974,6.249350649350649,3.0441558441558443,47.296103896103894
42,902.0,1981.0,0.6988636363636364,1719.0,36.89772727272727,7.096590909090909,4.2897727272727275,48.28409090909091
43,902.0,1982.0,0.4208915372342157,961.0,37.370974569372535,11.240272215167204,5.867604441405359,54.4788512259451
44,902.0,1983.0,0.73309111235327,1100.0,55.3474939444755,13.070616731880008,6.949878889509969,75.36798956586547
45,902.0,1984.0,0.9186508487761509,1172.0,46.68963409551857,14.183313422054288,7.262523268413302,68.13547078598616
46,902.0,1985.0,0.941414317712424,1847.0,70.86714954766269,23.163743200395615,7.9122669226517734,101.94315967071007
