STCODE,STNAME,DIST,DISTNAME,YEAR,FODDER_TA,FODDER_TAI
2,Bihar,915,Palamau,1966,-1.000,0.000
2,Bihar,915,Palamau,1967,-1.000,0.000
2,Bihar,915,Palamau,1968,-1.000,0.000
2,Bihar,915,Palamau,1969,-1.000,0.000
2,Bihar,915,Palamau,1970,0.000,0.000
2,Bihar,915,Palamau,1971,0.000,0.000
2,Bihar,915,Palamau,1972,0.000,0.000
2,Bihar,915,Palamau,1973,0.000,0.000
2,Bihar,915,Palamau,1974,0.000,0.000
2,Bihar,915,Palamau,1975,0.000,0.000
2,Bihar,915,Palamau,1976,0.000,0.000
2,Bihar,915,Palamau,1977,0.000,0.000
2,Bihar,915,Palamau,1978,0.000,0.000
2,Bihar,915,Palamau,1979,0.010,0.000
2,Bihar,915,Palamau,1980,0.000,0.000
2,Bihar,915,Palamau,1981,0.000,0.000
2,Bihar,915,Palamau,1982,0.000,0.000
2,Bihar,915,Palamau,1983,0.000,0.000
2,Bihar,915,Palamau,1984,0.000,0.000
2,Bihar,915,Palamau,1985,0.090,0.000
2,Bihar,915,Palamau,1986,-1.000,0.000
2,Bihar,915,Palamau,1987,0.000,0.000
2,Bihar,915,Palamau,1988,-1.000,0.000
2,Bihar,915,Palamau,1989,-1.000,0.000
2,Bihar,915,Palamau,1990,0.000,0.000
2,Bihar,915,Palamau,1991,-1.000,0.000
2,Bihar,915,Palamau,1992,0.000,0.000
2,Bihar,915,Palamau,1998,0.000,0.000
2,Bihar,915,Palamau,1999,0.000,0.000
2,Bihar,916,Ranchi,1966,-1.000,0.000
2,Bihar,916,Ranchi,1967,-1.000,0.000
2,Bihar,916,Ranchi,1968,-1.000,0.000
2,Bihar,916,Ranchi,1969,-1.000,0.000
2,Bihar,916,Ranchi,1970,0.020,0.000
2,Bihar,916,Ranchi,1971,0.000,0.000
2,Bihar,916,Ranchi,1972,0.070,0.000
2,Bihar,916,Ranchi,1973,0.200,0.030
2,Bihar,916,Ranchi,1974,0.010,0.000
2,Bihar,916,Ranchi,1975,0.000,0.000
2,Bihar,916,Ranchi,1976,0.160,0.000
2,Bihar,916,Ranchi,1977,0.100,0.000
2,Bihar,916,Ranchi,1978,0.020,0.000
2,Bihar,916,Ranchi,1979,0.130,0.000
2,Bihar,916,Ranchi,1980,0.110,0.000
2,Bihar,916,Ranchi,1981,0.000,0.000
2,Bihar,916,Ranchi,1982,0.030,0.000
2,Bihar,916,Ranchi,1983,0.030,0.000
2,Bihar,916,Ranchi,1984,0.000,0.000
2,Bihar,916,Ranchi,1985,0.000,0.000
2,Bihar,916,Ranchi,1986,-1.000,0.000
2,Bihar,916,Ranchi,1987,0.000,0.000
2,Bihar,916,Ranchi,1988,-1.000,0.000
2,Bihar,916,Ranchi,1989,-1.000,0.000
2,Bihar,916,Ranchi,1990,0.000,0.000
2,Bihar,916,Ranchi,1991,-1.000,0.000
2,Bihar,916,Ranchi,1992,0.020,0.000
2,Bihar,916,Ranchi,1998,0.000,0.000
2,Bihar,916,Ranchi,1999,0.000,0.000
2,Bihar,917,Singhbhum,1966,-1.000,0.000
2,Bihar,917,Singhbhum,1967,-1.000,0.000
2,Bihar,917,Singhbhum,1968,-1.000,0.000
2,Bihar,917,Singhbhum,1969,-1.000,0.000
2,Bihar,917,Singhbhum,1970,0.000,0.000
2,Bihar,917,Singhbhum,1971,0.000,0.000
2,Bihar,917,Singhbhum,1972,0.000,0.000
2,Bihar,917,Singhbhum,1973,0.000,0.000
2,Bihar,917,Singhbhum,1974,0.000,0.000
2,Bihar,917,Singhbhum,1975,0.000,0.000
2,Bihar,917,Singhbhum,1976,0.010,0.000
2,Bihar,917,Singhbhum,1977,0.000,0.000
2,Bihar,917,Singhbhum,1978,0.000,0.000
2,Bihar,917,Singhbhum,1979,0.000,0.000
2,Bihar,917,Singhbhum,1980,0.000,0.000
2,Bihar,917,Singhbhum,1981,0.000,0.000
2,Bihar,917,Singhbhum,1982,0.000,0.000
2,Bihar,917,Singhbhum,1983,0.000,0.000
2,Bihar,917,Singhbhum,1984,0.000,0.000
2,Bihar,917,Singhbhum,1985,0.000,0.000
2,Bihar,917,Singhbhum,1986,-1.000,0.000
2,Bihar,917,Singhbhum,1987,0.000,0.000
2,Bihar,917,Singhbhum,1988,-1.000,0.000
2,Bihar,917,Singhbhum,1989,-1.000,0.000
2,Bihar,917,Singhbhum,1990,0.000,0.000
2,Bihar,917,Singhbhum,1991,-1.000,0.000
2,Bihar,917,Singhbhum,1992,0.000,0.000
2,Bihar,917,Singhbhum,1998,0.000,0.000
2,Bihar,917,Singhbhum,1999,0.000,0.000
