STCODE,STNAME,DIST,DISTNAME,YEAR,POP_T,POP_M,POP_F,POP_RU,POP_RM,POP_RF,POP_UB,POP_UM,POP_UF,LIT_T,LIT_M,LIT_F,LIT_RU,LIT_RM,LIT_RF,LIT_UB,LIT_UM,LIT_UF,CULT_T,CULT_M,CULT_F,CULT_RU,CULT_RM,CULT_RF,CULT_UB,CULT_UM,CULT_UF,AGRL_T,AGRL_M,AGRL_F,AGRL_RU,AGRL_RM,AGRL_RF,AGRL_UB,AGRL_UM,AGRL_UF
2,Bihar,913,Hazaribagh,1991,5069.02,2619.67,2449.36,4211.67,2147.00,2064.66,857.36,472.66,384.69,1474.00,1099.55,374.45,1010.01,797.66,212.35,464.00,301.89,162.11,742.80,622.20,120.60,728.60,609.30,119.30,14.40,13.00,1.40,275.20,196.10,79.20,266.20,188.60,77.60,9.00,7.50,1.60
2,Bihar,914,Dhanbad,1961,1158.61,646.60,512.01,868.70,470.53,398.17,289.91,176.07,113.84,295.28,240.56,54.71,171.20,149.04,22.16,124.07,91.52,32.55,227.63,118.33,109.31,221.82,115.59,106.23,5.81,2.74,3.08,24.80,12.11,12.68,24.12,11.82,12.30,0.68,0.29,0.39
2,Bihar,914,Dhanbad,1971,1466.16,820.90,645.26,827.08,438.62,388.47,639.07,382.28,256.80,435.46,339.64,95.83,168.32,145.16,23.16,267.14,194.48,72.67,115.39,108.80,6.59,105.36,99.48,5.88,10.03,9.32,0.71,59.02,46.59,12.43,52.52,40.79,11.73,6.51,5.80,0.70
2,Bihar,914,Dhanbad,1981,2115.01,1166.13,948.88,1044.31,551.62,492.69,1070.70,614.50,456.20,828.26,608.32,219.94,275.42,228.24,47.18,552.85,380.08,172.77,108.55,100.20,8.35,101.61,93.51,8.10,6.94,6.69,0.25,45.41,35.85,9.57,41.57,32.41,9.16,3.85,3.43,0.41
2,Bihar,914,Dhanbad,1991,2674.65,1465.08,1209.58,1303.70,693.20,610.50,1370.95,771.88,599.07,1207.38,841.88,365.50,427.01,330.92,96.09,780.37,510.96,269.41,137.20,123.00,14.20,128.00,114.60,13.40,9.20,8.30,0.80,66.10,53.60,12.60,58.20,47.20,11.00,7.90,6.30,1.60
2,Bihar,915,Palamau,1961,1187.79,598.60,589.19,1131.63,567.91,563.71,56.16,30.69,25.48,161.23,136.98,24.25,137.60,119.81,17.79,23.63,17.16,6.46,336.55,202.59,133.97,334.41,201.18,133.22,2.15,1.40,0.74,138.18,66.86,71.32,137.25,66.31,70.94,0.93,0.55,0.38
2,Bihar,915,Palamau,1971,1501.32,764.38,736.94,1430.75,726.04,704.71,70.57,38.34,32.23,227.44,186.85,40.59,194.93,164.90,30.04,32.51,21.95,10.55,234.99,221.57,13.42,232.76,219.42,13.34,2.22,2.15,0.08,196.58,129.99,66.59,193.29,127.60,65.69,3.28,2.39,0.89
2,Bihar,915,Palamau,1981,1917.53,979.96,937.57,1809.42,921.11,888.31,108.11,58.85,49.26,391.39,305.95,85.44,334.94,269.17,65.77,56.45,36.78,19.67,300.02,265.42,34.61,297.39,262.90,34.50,2.63,2.52,0.11,227.72,144.75,82.98,225.83,143.37,82.45,1.90,1.37,0.53
2,Bihar,915,Palamau,1991,2451.19,1269.81,1181.38,2320.02,1198.67,1121.36,131.17,71.14,60.03,586.96,441.14,145.82,516.75,397.89,118.86,70.21,43.25,26.96,363.40,314.30,49.10,360.70,311.80,48.90,2.70,2.50,0.20,283.30,190.70,92.60,279.70,187.60,92.00,3.70,3.10,0.60
2,Bihar,916,Ranchi,1961,2138.57,1076.25,1062.31,1936.09,964.80,971.28,202.48,111.45,91.03,409.24,313.97,95.27,301.90,242.96,58.94,107.34,71.01,36.33,947.13,464.40,482.74,939.11,460.30,478.81,8.03,4.10,3.93,67.51,32.41,35.10,66.15,31.74,34.42,1.35,0.67,0.68
2,Bihar,916,Ranchi,1971,2600.21,1316.13,1284.08,2241.90,1118.40,1123.50,358.31,197.73,160.58,595.15,430.34,164.81,391.70,300.34,91.36,203.45,130.00,73.45,513.10,444.23,68.87,507.25,438.67,68.58,5.85,5.56,0.29,153.66,97.89,55.77,148.06,93.60,54.47,5.59,4.29,1.30
2,Bihar,916,Ranchi,1981,3070.43,1563.82,1506.61,2428.02,1214.70,1213.33,642.41,349.12,293.29,964.56,668.98,295.58,575.98,425.45,150.53,388.58,243.52,145.06,651.55,499.32,152.23,638.10,487.25,150.84,13.46,12.07,1.39,150.76,80.56,70.20,142.43,74.28,68.15,8.33,6.29,2.04
2,Bihar,916,Ranchi,1991,3656.92,1880.02,1776.89,2842.21,1443.20,1399.00,814.71,436.83,377.89,1389.32,919.43,469.89,850.81,598.34,252.49,538.51,321.09,217.42,801.10,574.90,226.10,784.00,561.10,223.10,17.00,13.90,3.20,158.90,86.90,72.00,147.80,78.60,69.20,11.10,8.30,2.90
2,Bihar,917,Singhbhum,1961,2049.91,1045.80,1004.11,1609.26,800.55,808.72,440.65,245.26,195.40,470.07,366.28,103.80,247.51,215.84,31.68,222.56,150.44,72.12,618.26,309.57,308.69,614.76,307.28,307.48,3.50,2.29,1.21,130.38,57.91,72.46,129.54,57.46,72.08,0.83,0.45,0.38
2,Bihar,917,Singhbhum,1971,2439.02,1253.50,1185.53,1790.48,894.83,895.65,648.54,358.67,289.87,625.86,467.09,158.77,282.04,239.83,42.22,343.82,227.27,116.55,333.30,284.05,49.25,327.36,278.90,48.45,5.95,5.15,0.80,227.21,137.72,89.49,220.32,132.93,87.39,6.89,4.79,2.10
2,Bihar,917,Singhbhum,1981,2862.00,1474.00,1388.00,1944.00,976.00,968.00,918.00,497.43,420.27,990.00,692.00,298.00,445.00,353.00,92.00,545.00,339.00,206.00,384.00,307.00,77.00,379.00,303.00,76.00,5.00,4.00,1.00,202.00,115.00,87.00,196.00,111.00,86.00,6.00,4.00,2.00
2,Bihar,917,Singhbhum,1991,3401.05,1756.26,1644.79,2268.71,1147.74,1120.97,1132.34,608.52,523.82,1363.16,912.56,450.60,631.08,471.70,159.38,732.08,440.86,291.22,496.20,372.80,123.40,489.30,366.90,122.50,6.90,5.90,1.00,251.60,142.00,109.60,242.30,135.20,107.20,9.20,6.70,2.40
