STCODE,STNAME,DIST,DISTNAME,YEAR,POP_T,POP_M,POP_F,POP_RU,POP_RM,POP_RF,POP_UB,POP_UM,POP_UF,LIT_T,LIT_M,LIT_F,LIT_RU,LIT_RM,LIT_RF,LIT_UB,LIT_UM,LIT_UF,CULT_T,CULT_M,CULT_F,CULT_RU,CULT_RM,CULT_RF,CULT_UB,CULT_UM,CULT_UF,AGRL_T,AGRL_M,AGRL_F,AGRL_RU,AGRL_RM,AGRL_RF,AGRL_UB,AGRL_UM,AGRL_UF
2,Bihar,906,Saran,2011,9844.33,4965.58,4878.76,9145.42,4602.78,4542.65,698.92,362.81,336.12,5470.63,3195.59,2275.05,5020.12,2940.14,2079.99,450.51,255.45,195.07,705.99,584.78,121.21,692.18,572.63,119.54,13.81,12.15,1.67,1208.47,899.65,308.81,1176.83,873.87,302.98,31.64,25.80,5.84
2,Bihar,907,Patna,1961,2949.75,1522.69,1427.06,2355.85,1195.16,1160.69,593.90,327.53,266.37,847.58,662.56,185.02,564.26,466.75,97.50,283.33,195.81,87.52,450.97,346.12,104.85,436.45,335.34,101.11,14.52,10.78,3.74,296.36,156.73,139.63,288.30,152.09,136.21,8.06,4.64,3.42
2,Bihar,907,Patna,1971,3553.18,1863.11,1690.08,2752.29,1422.39,1329.90,800.90,440.72,360.18,1057.94,803.73,254.22,672.71,543.89,128.82,385.23,259.84,125.40,395.82,370.58,25.24,377.56,353.05,24.50,18.26,17.52,0.74,409.74,271.61,138.14,384.88,252.59,132.28,24.87,19.01,5.86
2,Bihar,907,Patna,1981,4660.53,2449.60,2210.93,3316.62,1719.11,1597.52,1343.90,730.50,613.41,1740.06,1233.12,506.95,1001.82,759.12,242.70,738.24,474.00,264.24,434.70,409.93,24.76,411.61,387.81,23.79,23.09,22.13,0.97,465.58,320.46,145.12,431.30,294.44,136.87,34.28,26.02,8.26
2,Bihar,907,Patna,1991,5616.21,2991.07,2625.13,3943.29,2084.84,1858.44,1672.92,906.23,766.69,2398.24,1617.69,780.55,1399.71,1009.03,390.68,998.54,608.66,389.88,520.50,469.50,51.00,489.90,441.10,48.70,30.70,28.40,2.30,605.30,424.70,180.60,556.00,384.40,171.70,49.20,40.30,8.90
2,Bihar,907,Patna,2001,7078.18,3751.42,3326.76,4755.81,2500.10,2255.71,2322.37,1251.32,1071.05,3529.81,2229.17,1300.63,1986.83,1320.08,666.76,1542.97,909.09,633.88,638.29,490.54,147.75,613.03,469.08,143.95,25.27,21.47,3.80,853.42,521.87,331.55,809.00,490.70,318.29,44.42,31.17,13.25
2,Bihar,907,Patna,2011,8716.12,4575.57,4140.54,5743.64,3003.76,2739.88,2972.48,1571.82,1400.66,4979.61,2947.61,2032.01,2922.56,1791.99,1130.57,2057.05,1155.61,901.44,492.46,389.72,102.74,456.04,359.51,96.52,36.42,30.20,6.22,1192.22,784.50,407.73,1104.17,717.70,386.48,88.05,66.81,21.24
2,Bihar,908,Mungher,1961,3387.08,1702.71,1684.37,3011.88,1505.59,1506.29,375.20,197.12,178.08,643.03,517.99,125.04,504.38,416.69,87.69,138.65,101.31,37.35,592.01,445.10,146.91,578.24,432.80,145.44,13.77,12.30,1.47,364.62,211.33,153.29,357.09,205.90,151.19,7.53,5.42,2.10
2,Bihar,908,Mungher,1971,3896.42,2013.64,1882.79,3428.24,1762.87,1665.37,468.18,250.77,217.41,786.32,617.68,168.65,605.08,490.96,114.13,181.24,126.72,54.52,449.69,428.99,20.70,433.18,413.16,20.02,16.51,15.82,0.68,548.10,408.55,139.55,525.12,388.83,136.29,22.98,19.72,3.26
2,Bihar,908,Mungher,1981,4771.77,2473.79,2297.99,4151.03,2143.07,2007.96,620.74,330.72,290.03,1263.44,928.07,335.36,970.09,732.88,237.21,293.34,195.19,98.16,541.86,507.75,34.11,521.11,487.76,33.36,20.74,20.00,0.75,592.58,440.74,151.84,564.51,417.74,146.76,28.07,23.00,5.08
2,Bihar,908,Mungher,1991,5862.03,3110.47,2751.55,5117.80,2710.53,2407.56,744.15,400.17,343.99,1795.68,1279.89,515.79,1413.62,1034.81,378.81,382.06,245.09,136.98,668.90,596.90,71.90,641.00,570.60,70.40,27.90,26.30,1.70,771.00,579.60,191.40,731.80,546.60,185.20,39.10,33.00,6.20
2,Bihar,908,Mungher,2001,7216.38,3788.49,3427.89,6454.96,3381.98,3072.98,761.42,406.51,354.91,2790.56,1834.81,955.75,2327.56,1557.74,769.82,463.00,277.07,185.93,626.26,493.01,133.26,612.58,481.00,131.58,13.68,12.01,1.68,1114.67,725.74,388.93,1087.95,707.05,380.90,26.73,18.70,8.03
2,Bihar,908,Mungair,2011,9402.86,4952.64,4450.21,7968.41,4193.89,3774.53,1434.44,758.75,675.70,4813.06,2889.40,1923.67,3909.48,2371.87,1537.61,903.57,517.53,386.04,586.04,463.83,122.21,559.66,441.03,118.63,26.40,22.80,3.59,1554.19,1070.24,483.95,1477.73,1010.27,467.46,76.45,59.98,16.47
2,Bihar,909,Bhagalpur,1961,1711.14,877.03,834.11,1524.42,775.11,749.31,186.72,101.92,84.80,347.52,272.68,74.84,269.62,217.75,51.87,77.90,54.93,22.98,306.28,214.95,91.34,303.33,212.52,90.81,2.95,2.43,0.53,201.23,107.90,93.33,199.91,107.10,92.81,1.32,0.80,0.52
2,Bihar,909,Bhagalpur,1971,2086.99,1089.07,997.92,1865.33,967.68,897.65,221.66,121.40,100.27,447.31,339.57,107.73,346.21,272.43,73.79,101.09,67.15,33.95,241.95,228.79,13.16,238.02,225.00,13.02,3.93,3.79,0.14,312.55,216.11,96.44,305.85,210.41,95.44,6.70,5.71,1.00
2,Bihar,909,Bhagalpur,1981,2621.00,1371.84,1249.59,2314.22,1205.64,1108.57,307.21,166.20,141.01,720.24,522.79,197.45,562.52,420.55,141.98,157.72,102.25,55.47,299.60,279.92,19.68,293.47,273.99,19.48,6.14,5.94,0.20,321.86,238.71,83.15,312.72,230.96,81.77,9.14,7.76,1.38
2,Bihar,909,Bhagalpur,1991,3202.47,1707.51,1494.97,2814.39,1498.57,1315.82,388.08,208.94,179.15,987.13,701.72,285.40,776.25,571.28,204.97,210.88,130.45,80.43,380.60,338.30,42.30,369.10,327.80,41.30,11.50,10.50,1.00,423.30,314.70,108.70,407.50,300.90,106.60,15.90,13.80,2.10
2,Bihar,909,Bhagalpur,2001,4039.11,2137.25,1901.86,3530.84,1864.64,1666.20,508.27,272.61,235.66,1550.08,1018.78,531.30,1246.29,839.37,406.92,303.79,179.40,124.39,384.25,283.85,100.40,378.11,278.75,99.36,6.15,5.10,1.05,746.25,462.57,283.68,728.92,450.20,278.72,17.33,12.37,4.96
2,Bihar,909,Bhagalpur,2011,5072.53,2682.80,2389.72,4398.68,2324.49,2074.20,673.84,358.32,315.53,2538.39,1528.63,1009.76,2105.63,1282.72,822.91,432.76,245.91,186.85,307.60,237.81,69.80,300.28,231.45,68.83,7.32,6.35,0.97,937.84,633.51,304.34,912.87,612.96,299.91,24.98,20.55,4.43
2,Bihar,910,Santhal Pargana,1961,2675.20,1351.15,1324.05,2532.25,1272.82,1259.43,142.95,78.33,64.63,391.21,325.18,66.03,323.78,277.96,45.82,67.43,47.22,20.21,1033.44,551.65,481.79,1028.86,548.87,479.98,4.58,2.78,1.80,124.40,66.43,57.97,123.64,66.04,57.60,0.75,0.39,0.37
2,Bihar,910,Santhal Pargana,1971,3183.53,1624.46,1559.08,2999.83,1524.15,1475.68,183.70,100.31,83.40,497.90,400.24,97.67,408.43,340.02,68.41,89.47,60.22,29.25,632.87,566.60,66.27,628.89,562.72,66.17,3.98,3.88,0.10,264.57,188.11,76.46,260.49,184.60,75.89,4.08,3.51,0.57
