STCODE,STNAME,DIST,DISTNAME,LGP
2,Bihar,901,Champaran,244
2,Bihar,902,MUZAFFARPUR,240
2,Bihar,903,Darbhanga,247
2,Bihar,904,SAHARSA,230
2,Bihar,905,Purnia,257
2,Bihar,906,SARAN,224
2,Bihar,907,Patna,224
2,Bihar,908,Munger,224
2,Bihar,909,Bhagalpur,210
2,Bihar,912,Gaya,222
