STCODE,STNAME,DIST,DISTNAME,AESR
2,Bihar,901,Champaran,13.1
2,Bihar,902,MUZAFFARPUR,13.1
2,Bihar,903,Darbhanga,13.1
2,Bihar,904,SAHARSA,13.1
2,Bihar,905,Purnia,13.1
2,Bihar,906,SARAN,13.1
2,Bihar,907,Patna,9.2
2,Bihar,908,Munger,13.1
2,Bihar,909,Bhagalpur,13.1
2,Bihar,912,Gaya,9.2
