STCODE,STNAME,DIST,DISTNAME,YEAR,CANALS,TANKS,TUBEWELL,OTHWELL,TOTWELL,OTHSOUR
2,Bihar,913,Hazaribagh,1998,1.40,3.63,4.43,13.76,18.19,3.55
2,Bihar,913,Hazaribagh,1999,1.29,4.24,4.58,17.57,22.15,3.68
2,Bihar,914,Dhanbad,1966,0.22,8.62,0.10,1.51,1.61,1.16
2,Bihar,914,Dhanbad,1967,0.34,4.44,0.03,0.91,0.94,0.42
2,Bihar,914,Dhanbad,1968,0.08,4.49,0.25,0.62,0.87,0.65
2,Bihar,914,Dhanbad,1969,0.07,2.83,0.04,0.53,0.57,0.34
2,Bihar,914,Dhanbad,1970,0.09,2.19,0.07,0.45,0.52,0.28
2,Bihar,914,Dhanbad,1971,0.02,0.64,0.01,0.23,0.24,0.39
2,Bihar,914,Dhanbad,1972,0.19,1.44,0.04,0.74,0.78,0.74
2,Bihar,914,Dhanbad,1973,0.25,1.07,0.08,0.45,0.53,0.61
2,Bihar,914,Dhanbad,1974,0.18,1.29,0.00,0.59,0.59,0.65
2,Bihar,914,Dhanbad,1975,0.38,2.34,0.00,1.51,1.51,3.00
2,Bihar,914,Dhanbad,1976,0.32,2.01,0.19,0.53,0.72,1.02
2,Bihar,914,Dhanbad,1977,0.37,2.20,0.08,1.79,1.87,0.75
2,Bihar,914,Dhanbad,1978,0.33,1.85,0.00,0.59,0.59,0.27
2,Bihar,914,Dhanbad,1979,0.32,1.54,0.00,0.54,0.54,0.81
2,Bihar,914,Dhanbad,1980,0.00,0.47,0.00,0.54,0.54,0.41
2,Bihar,914,Dhanbad,1981,0.00,0.86,0.00,0.43,0.43,0.56
2,Bihar,914,Dhanbad,1982,0.00,0.19,0.01,0.45,0.46,0.89
2,Bihar,914,Dhanbad,1983,0.00,0.59,0.00,0.40,0.40,0.44
2,Bihar,914,Dhanbad,1984,0.00,0.91,0.00,0.78,0.78,0.42
2,Bihar,914,Dhanbad,1985,0.00,0.37,0.00,0.37,0.37,0.28
2,Bihar,914,Dhanbad,1986,0.00,0.38,0.00,0.48,0.48,0.27
2,Bihar,914,Dhanbad,1987,0.01,0.55,0.01,0.21,0.22,0.37
2,Bihar,914,Dhanbad,1988,0.00,0.34,0.00,0.25,0.25,0.25
2,Bihar,914,Dhanbad,1989,0.00,0.29,0.00,0.14,0.14,0.24
2,Bihar,914,Dhanbad,1990,0.00,0.22,0.00,0.31,0.31,0.31
2,Bihar,914,Dhanbad,1991,0.00,0.40,0.01,0.34,0.35,0.34
2,Bihar,914,Dhanbad,1992,0.04,0.52,0.01,0.97,0.98,0.26
2,Bihar,914,Dhanbad,1993,0.01,0.55,0.01,1.10,1.11,0.20
2,Bihar,914,Dhanbad,1994,0.02,0.56,0.00,1.14,1.14,0.13
2,Bihar,914,Dhanbad,1997,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2,Bihar,914,Dhanbad,1998,0.01,0.40,0.05,1.12,1.17,0.49
2,Bihar,914,Dhanbad,1999,0.00,0.30,0.25,1.08,1.33,0.42
2,Bihar,915,Palamau,1966,1.94,4.03,2.25,12.41,14.66,15.10
2,Bihar,915,Palamau,1967,1.64,0.64,0.87,11.36,12.23,54.13
2,Bihar,915,Palamau,1968,3.81,14.69,3.86,9.63,13.49,30.13
2,Bihar,915,Palamau,1969,4.76,17.80,3.01,8.95,11.96,34.00
2,Bihar,915,Palamau,1970,3.85,19.42,1.52,8.10,9.62,37.12
2,Bihar,915,Palamau,1971,4.14,7.12,2.39,7.59,9.98,51.74
2,Bihar,915,Palamau,1972,4.08,4.93,5.39,8.64,14.03,43.06
2,Bihar,915,Palamau,1973,6.83,5.01,4.15,7.14,11.29,39.05
2,Bihar,915,Palamau,1974,7.45,5.29,5.23,7.65,12.88,33.89
2,Bihar,915,Palamau,1975,8.03,8.54,3.68,10.81,14.49,37.70
2,Bihar,915,Palamau,1976,7.19,8.99,3.76,12.55,16.31,33.09
2,Bihar,915,Palamau,1977,9.02,9.15,3.56,12.88,16.44,34.60
2,Bihar,915,Palamau,1978,9.49,9.44,3.73,12.57,16.30,35.12
2,Bihar,915,Palamau,1979,4.31,2.87,2.43,9.38,11.81,15.10
2,Bihar,915,Palamau,1980,8.03,4.85,2.67,10.25,12.92,27.53
2,Bihar,915,Palamau,1981,9.86,5.41,2.21,9.39,11.60,23.96
2,Bihar,915,Palamau,1982,4.83,3.28,2.17,9.52,11.69,27.33
2,Bihar,915,Palamau,1983,7.94,1.85,4.69,9.99,14.68,21.47
2,Bihar,915,Palamau,1984,8.35,3.52,7.59,9.11,16.70,26.08
2,Bihar,915,Palamau,1985,5.47,2.31,4.20,7.22,11.42,28.87
2,Bihar,915,Palamau,1986,5.82,2.36,6.84,6.39,13.23,27.72
2,Bihar,915,Palamau,1987,3.01,0.31,4.91,6.57,11.48,37.39
2,Bihar,915,Palamau,1988,8.82,1.72,8.19,4.02,12.21,19.85
2,Bihar,915,Palamau,1989,10.30,0.60,2.71,8.31,11.02,23.97
2,Bihar,915,Palamau,1990,11.16,0.75,5.16,9.64,14.80,25.60
2,Bihar,915,Palamau,1991,11.06,0.66,6.26,9.99,16.25,24.02
2,Bihar,915,Palamau,1992,11.15,3.82,6.56,11.94,18.50,7.42
2,Bihar,915,Palamau,1993,16.20,9.57,7.93,11.91,19.84,13.91
2,Bihar,915,Palamau,1994,17.25,9.58,7.78,19.13,26.91,15.79
2,Bihar,915,Palamau,1997,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2,Bihar,915,Palamau,1998,17.66,6.71,3.05,16.21,19.26,19.64
2,Bihar,915,Palamau,1999,7.25,7.54,5.51,14.88,20.39,14.45
2,Bihar,916,Ranchi,1966,3.85,1.38,0.22,6.06,6.28,1.71
2,Bihar,916,Ranchi,1967,6.58,1.20,0.13,5.30,5.43,2.94
2,Bihar,916,Ranchi,1968,6.52,7.22,0.12,5.72,5.84,5.23
2,Bihar,916,Ranchi,1969,8.68,0.74,0.30,5.88,6.18,2.80
2,Bihar,916,Ranchi,1970,12.91,0.45,0.33,4.52,4.85,5.70
2,Bihar,916,Ranchi,1971,9.32,0.73,0.52,7.52,8.04,3.53
2,Bihar,916,Ranchi,1972,1.58,1.35,1.25,7.44,8.69,15.80
2,Bihar,916,Ranchi,1973,12.08,0.94,1.91,11.27,13.18,4.18
2,Bihar,916,Ranchi,1974,12.24,0.79,2.02,11.51,13.53,6.78
2,Bihar,916,Ranchi,1975,9.05,4.27,4.34,25.86,30.20,12.78
2,Bihar,916,Ranchi,1976,7.31,3.97,3.31,22.16,25.47,10.86
2,Bihar,916,Ranchi,1977,8.26,2.75,1.23,22.62,23.85,9.72
2,Bihar,916,Ranchi,1978,7.43,1.13,2.49,17.42,19.91,7.57
2,Bihar,916,Ranchi,1979,7.92,2.57,1.13,15.12,16.25,6.30
2,Bihar,916,Ranchi,1980,8.91,1.03,5.10,12.80,17.90,6.96
2,Bihar,916,Ranchi,1981,7.85,1.89,2.70,12.22,14.92,6.25
2,Bihar,916,Ranchi,1982,1.24,2.47,2.98,9.14,12.12,10.92
2,Bihar,916,Ranchi,1983,8.60,2.86,0.68,11.55,12.23,9.01
2,Bihar,916,Ranchi,1984,6.90,3.63,0.81,12.38,13.19,7.26
2,Bihar,916,Ranchi,1985,5.16,1.39,1.30,8.55,9.85,9.41
2,Bihar,916,Ranchi,1986,7.71,1.35,2.45,11.86,14.31,8.23
2,Bihar,916,Ranchi,1987,4.98,0.57,3.35,7.12,7.14,7.05
2,Bihar,916,Ranchi,1988,5.89,0.88,2.69,11.14,13.83,7.94
2,Bihar,916,Ranchi,1989,6.31,0.71,1.16,10.50,11.66,7.88
2,Bihar,916,Ranchi,1990,5.38,1.46,0.51,10.68,11.19,11.09
2,Bihar,916,Ranchi,1991,2.00,2.07,1.36,8.50,9.86,14.84
2,Bihar,916,Ranchi,1992,1.68,1.29,0.21,7.73,7.94,17.39
2,Bihar,916,Ranchi,1993,5.77,1.23,0.47,11.59,12.06,10.36
2,Bihar,916,Ranchi,1994,5.66,1.41,0.31,14.24,14.55,11.06
2,Bihar,916,Ranchi,1997,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2,Bihar,916,Ranchi,1998,3.77,2.73,0.79,12.93,13.72,9.65
2,Bihar,916,Ranchi,1999,3.54,1.09,0.34,14.03,14.37,9.88
2,Bihar,917,Singhbhum,1966,5.96,6.44,0.02,1.85,1.87,4.93
2,Bihar,917,Singhbhum,1967,5.04,5.83,0.00,2.72,2.72,4.88
2,Bihar,917,Singhbhum,1968,6.15,7.30,0.03,0.29,0.32,6.28
2,Bihar,917,Singhbhum,1969,11.84,10.62,0.01,0.21,0.22,3.33
2,Bihar,917,Singhbhum,1970,11.48,7.55,0.03,0.29,0.32,3.70
2,Bihar,917,Singhbhum,1971,11.79,7.09,0.00,0.41,0.41,3.66
2,Bihar,917,Singhbhum,1972,9.94,6.24,0.02,0.94,0.96,2.07
2,Bihar,917,Singhbhum,1973,8.98,6.54,0.10,1.04,1.14,2.43
2,Bihar,917,Singhbhum,1974,9.53,6.82,0.02,0.64,0.66,1.55
2,Bihar,917,Singhbhum,1975,9.04,6.81,0.20,1.37,1.57,2.58
2,Bihar,917,Singhbhum,1976,9.76,5.38,0.00,2.66,2.66,3.37
2,Bihar,917,Singhbhum,1977,5.11,8.75,0.01,1.24,1.25,4.13
2,Bihar,917,Singhbhum,1978,10.71,4.97,0.00,0.38,0.38,2.43
2,Bihar,917,Singhbhum,1979,7.61,5.64,0.01,0.64,0.65,2.02
2,Bihar,917,Singhbhum,1980,6.52,4.02,0.03,0.63,0.66,1.96
2,Bihar,917,Singhbhum,1981,10.53,2.72,1.25,0.60,1.85,1.90
2,Bihar,917,Singhbhum,1982,22.73,3.90,0.25,0.41,0.66,1.31
2,Bihar,917,Singhbhum,1983,9.01,1.99,0.22,0.16,0.38,1.90
2,Bihar,917,Singhbhum,1984,10.89,2.44,0.17,0.22,0.39,2.27
2,Bihar,917,Singhbhum,1985,10.82,2.41,0.03,0.19,0.22,2.76
2,Bihar,917,Singhbhum,1986,9.01,2.59,0.02,0.52,1.54,2.48
2,Bihar,917,Singhbhum,1987,9.92,2.11,0.61,0.45,1.06,2.40
2,Bihar,917,Singhbhum,1988,8.20,2.17,0.39,0.32,0.71,2.38
2,Bihar,917,Singhbhum,1989,5.99,0.62,0.52,0.25,0.77,2.14
2,Bihar,917,Singhbhum,1990,4.58,2.93,0.12,1.03,1.15,1.30
2,Bihar,917,Singhbhum,1991,4.77,2.12,0.32,0.24,0.56,1.57
2,Bihar,917,Singhbhum,1992,5.28,2.16,0.36,0.51,0.87,2.04
2,Bihar,917,Singhbhum,1993,4.53,1.05,0.24,0.08,0.32,5.52
2,Bihar,917,Singhbhum,1994,5.96,4.92,0.09,0.79,0.88,4.17
2,Bihar,917,Singhbhum,1997,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00
2,Bihar,917,Singhbhum,1998,3.71,0.66,0.08,0.15,0.23,3.23
