STCODE,STNAME,DIST,DISTNAME,YEAR,PPMRKT,PSMRKT,PTMRKT,LROAD
2,Bihar,903,Darbhanga,1970,1.0,-1.0,1.0,11019.0
2,Bihar,903,Darbhanga,1971,1.0,-1.0,1.0,11019.0
2,Bihar,903,Darbhanga,1972,1.0,-1.0,1.0,11019.0
2,Bihar,903,Darbhanga,1973,6.0,-1.0,6.0,14936.0
2,Bihar,903,Darbhanga,1974,8.0,-1.0,8.0,14936.0
2,Bihar,903,Darbhanga,1975,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1976,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1977,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1978,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1979,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1980,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1981,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1982,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1983,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1984,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1985,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1986,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1987,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1988,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1989,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1990,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1991,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1992,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1993,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1994,11.0,-1.0,11.0,14936.0
2,Bihar,903,Darbhanga,1995,13.0,40.0,53.0,-1.0
2,Bihar,903,Darbhanga,1996,13.0,40.0,53.0,-1.0
2,Bihar,903,Darbhanga,1997,13.0,40.0,53.0,-1.0
2,Bihar,903,Darbhanga,1998,13.0,40.0,53.0,-1.0
2,Bihar,903,Darbhanga,1999,13.0,40.0,53.0,-1.0
2,Bihar,903,Darbhanga,2000,13.0,40.0,53.0,1332.2
2,Bihar,904,Saharsa,1966,-1.0,-1.0,-1.0,316.0
2,Bihar,904,Saharsa,1967,-1.0,-1.0,-1.0,316.0
2,Bihar,904,Saharsa,1968,-1.0,-1.0,-1.0,346.0
2,Bihar,904,Saharsa,1969,-1.0,-1.0,-1.0,543.0
2,Bihar,904,Saharsa,1970,3.0,-1.0,3.0,2386.0
2,Bihar,904,Saharsa,1971,3.0,-1.0,3.0,2386.0
2,Bihar,904,Saharsa,1972,3.0,-1.0,3.0,2386.0
2,Bihar,904,Saharsa,1973,3.0,-1.0,3.0,2386.0
2,Bihar,904,Saharsa,1974,4.0,-1.0,4.0,2386.0
2,Bihar,904,Saharsa,1975,5.0,-1.0,5.0,2386.0
2,Bihar,904,Saharsa,1976,7.0,-1.0,7.0,2386.0
2,Bihar,904,Saharsa,1977,7.0,-1.0,7.0,2386.0
2,Bihar,904,Saharsa,1978,7.0,-1.0,7.0,2386.0
2,Bihar,904,Saharsa,1979,7.0,-1.0,7.0,2386.0
2,Bihar,904,Saharsa,1980,7.0,-1.0,7.0,2386.0
2,Bihar,904,Saharsa,1981,7.0,-1.0,7.0,2386.0
2,Bihar,904,Saharsa,1982,7.0,-1.0,7.0,2386.0
2,Bihar,904,Saharsa,1983,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1984,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1985,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1986,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1987,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1988,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1989,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1990,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1991,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1992,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1993,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1994,9.0,-1.0,9.0,2386.1
2,Bihar,904,Saharsa,1995,9.0,13.0,22.0,-1.0
2,Bihar,904,Saharsa,1996,9.0,13.0,22.0,-1.0
2,Bihar,904,Saharsa,1997,9.0,13.0,22.0,-1.0
2,Bihar,904,Saharsa,1998,9.0,13.0,22.0,-1.0
2,Bihar,904,Saharsa,1999,9.0,13.0,22.0,-1.0
2,Bihar,904,Saharsa,2000,9.0,13.0,22.0,402.4
2,Bihar,905,Purnea,1966,-1.0,-1.0,-1.0,543.0
2,Bihar,905,Purnea,1967,-1.0,-1.0,-1.0,543.0
2,Bihar,905,Purnea,1968,-1.0,-1.0,-1.0,543.0
2,Bihar,905,Purnea,1969,-1.0,-1.0,-1.0,346.0
2,Bihar,905,Purnia,1970,3.0,-1.0,3.0,6771.0
2,Bihar,905,Purnia,1971,3.0,-1.0,3.0,6771.0
2,Bihar,905,Purnia,1972,3.0,-1.0,3.0,6771.0
2,Bihar,905,Purnia,1973,3.0,-1.0,3.0,6771.0
2,Bihar,905,Purnia,1974,3.0,-1.0,3.0,6771.0
2,Bihar,905,Purnia,1975,3.0,-1.0,3.0,6771.0
2,Bihar,905,Purnia,1976,4.0,-1.0,4.0,6771.0
2,Bihar,905,Purnia,1977,4.0,-1.0,4.0,6771.0
2,Bihar,905,Purnia,1978,4.0,-1.0,4.0,6771.0
2,Bihar,905,Purnia,1979,4.0,-1.0,4.0,6771.0
2,Bihar,905,Purnia,1980,4.0,-1.0,4.0,6771.0
2,Bihar,905,Purnia,1981,6.0,-1.0,6.0,6916.0
2,Bihar,905,Purnia,1982,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1983,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1984,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1985,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1986,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1987,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1988,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1989,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1990,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1991,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1992,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1993,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnia,1994,11.0,-1.0,11.0,6916.0
2,Bihar,905,Purnea,1995,11.0,40.0,51.0,-1.0
2,Bihar,905,Purnea,1996,11.0,40.0,51.0,-1.0
2,Bihar,905,Purnea,1997,11.0,40.0,51.0,-1.0
2,Bihar,905,Purnea,1998,11.0,40.0,51.0,-1.0
2,Bihar,905,Purnea,1999,11.0,40.0,51.0,-1.0
2,Bihar,905,Purnea,2000,11.0,40.0,51.0,1134.1
2,Bihar,906,Saran,1966,-1.0,-1.0,-1.0,660.0
2,Bihar,906,Saran,1967,-1.0,-1.0,-1.0,670.0
2,Bihar,906,Saran,1968,-1.0,-1.0,-1.0,674.0
2,Bihar,906,Saran,1969,-1.0,-1.0,-1.0,575.0
2,Bihar,906,Saran,1970,1.0,-1.0,1.0,8070.0
2,Bihar,906,Saran,1971,1.0,-1.0,1.0,8070.0
2,Bihar,906,Saran,1972,1.0,-1.0,1.0,8070.0
2,Bihar,906,Saran,1973,2.0,-1.0,2.0,9373.0
2,Bihar,906,Saran,1974,4.0,-1.0,4.0,10686.0
2,Bihar,906,Saran,1975,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1976,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1977,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1978,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1979,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1980,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1981,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1982,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1983,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1984,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1985,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1986,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1987,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1988,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1989,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1990,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1991,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1992,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1993,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1994,5.0,-1.0,5.0,10686.0
2,Bihar,906,Saran,1995,5.0,24.0,29.0,-1.0
2,Bihar,906,Saran,1996,5.0,24.0,29.0,-1.0
2,Bihar,906,Saran,1997,5.0,24.0,29.0,-1.0
2,Bihar,906,Saran,1998,5.0,24.0,29.0,-1.0
2,Bihar,906,Saran,1999,5.0,24.0,29.0,-1.0
2,Bihar,906,Saran,2000,5.0,24.0,29.0,1019.4
2,Bihar,907,Patna,1966,-1.0,-1.0,-1.0,569.0
2,Bihar,907,Patna,1967,-1.0,-1.0,-1.0,569.0
2,Bihar,907,Patna,1968,-1.0,-1.0,-1.0,569.0
2,Bihar,907,Patna,1969,-1.0,-1.0,-1.0,569.0
2,Bihar,907,Patna,1970,7.0,-1.0,7.0,3545.0
2,Bihar,907,Patna,1971,7.0,-1.0,7.0,3545.0
2,Bihar,907,Patna,1972,7.0,-1.0,7.0,3545.0
2,Bihar,907,Patna,1973,8.0,-1.0,8.0,4456.0
2,Bihar,907,Patna,1974,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1975,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1976,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1977,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1978,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1979,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1980,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1981,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1982,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1983,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1984,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1985,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1986,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1987,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1988,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1989,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1990,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1991,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1992,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1993,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1994,10.0,-1.0,10.0,4456.0
2,Bihar,907,Patna,1995,10.0,38.0,48.0,-1.0
2,Bihar,907,Patna,1996,10.0,38.0,48.0,-1.0
2,Bihar,907,Patna,1997,10.0,38.0,48.0,-1.0
2,Bihar,907,Patna,1998,10.0,38.0,48.0,-1.0
2,Bihar,907,Patna,1999,10.0,38.0,48.0,-1.0
2,Bihar,907,Patna,2000,10.0,38.0,48.0,878.7
2,Bihar,908,Mungair,1966,-1.0,-1.0,-1.0,595.0
2,Bihar,908,Mungair,1967,-1.0,-1.0,-1.0,595.0
2,Bihar,908,Mungair,1968,-1.0,-1.0,-1.0,595.0
2,Bihar,908,Mungair,1969,-1.0,-1.0,-1.0,595.0
2,Bihar,908,Monghyr,1970,4.0,-1.0,4.0,4684.0
2,Bihar,908,Monghyr,1971,4.0,-1.0,4.0,4684.0
2,Bihar,908,Monghyr,1972,4.0,-1.0,4.0,4684.0
2,Bihar,908,Monghyr,1973,4.0,-1.0,4.0,4684.0
2,Bihar,908,Monghyr,1974,4.0,-1.0,4.0,4684.0
2,Bihar,908,Monghyr,1975,5.0,-1.0,5.0,4684.0
2,Bihar,908,Monghyr,1976,8.0,-1.0,8.0,5603.0
2,Bihar,908,Monghyr,1977,8.0,-1.0,8.0,5603.0
2,Bihar,908,Monghyr,1978,8.0,-1.0,8.0,5603.0
2,Bihar,908,Monghyr,1979,8.0,-1.0,8.0,5603.0
2,Bihar,908,Monghyr,1980,8.0,-1.0,8.0,5603.0
2,Bihar,908,Monghyr,1981,8.0,-1.0,8.0,5603.0
2,Bihar,908,Monghyr,1982,8.0,-1.0,8.0,5603.0
2,Bihar,908,Monghyr,1983,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1984,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1985,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1986,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1987,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1988,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1989,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1990,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1991,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1992,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1993,9.0,-1.0,9.0,5603.0
2,Bihar,908,Monghyr,1994,9.0,-1.0,9.0,5603.0
2,Bihar,908,Mungair,1995,8.0,47.0,55.0,-1.0
2,Bihar,908,Mungair,1996,8.0,47.0,55.0,-1.0
2,Bihar,908,Mungair,1997,8.0,47.0,55.0,-1.0
2,Bihar,908,Mungair,1998,8.0,47.0,55.0,-1.0
2,Bihar,908,Mungair,1999,8.0,47.0,55.0,-1.0
2,Bihar,908,Mungair,2000,8.0,47.0,55.0,1148.5
2,Bihar,909,Bhagalpur,1966,-1.0,-1.0,-1.0,370.0
2,Bihar,909,Bhagalpur,1967,-1.0,-1.0,-1.0,370.0
2,Bihar,909,Bhagalpur,1968,-1.0,-1.0,-1.0,382.0
2,Bihar,909,Bhagalpur,1969,-1.0,-1.0,-1.0,382.0
2,Bihar,909,Bhagalpur,1970,3.0,-1.0,3.0,1895.0
2,Bihar,909,Bhagalpur,1971,3.0,-1.0,3.0,1895.0
2,Bihar,909,Bhagalpur,1972,3.0,-1.0,3.0,1895.0
2,Bihar,909,Bhagalpur,1973,3.0,-1.0,3.0,1895.0
2,Bihar,909,Bhagalpur,1974,3.0,-1.0,3.0,1895.0
2,Bihar,909,Bhagalpur,1975,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1976,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1977,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1978,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1979,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1980,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1981,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1982,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1983,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1984,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1985,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1986,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1987,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1988,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1989,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1990,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1991,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1992,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1993,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1994,4.0,-1.0,4.0,1895.0
2,Bihar,909,Bhagalpur,1995,5.0,26.0,31.0,-1.0
2,Bihar,909,Bhagalpur,1996,5.0,26.0,31.0,-1.0
2,Bihar,909,Bhagalpur,1997,5.0,26.0,31.0,-1.0
2,Bihar,909,Bhagalpur,1998,5.0,26.0,31.0,-1.0
2,Bihar,909,Bhagalpur,1999,5.0,26.0,31.0,-1.0
2,Bihar,909,Bhagalpur,2000,5.0,26.0,31.0,603.5
2,Bihar,910,Santhal Paragana,1966,-1.0,-1.0,-1.0,630.0
2,Bihar,910,Santhal Paragana,1967,-1.0,-1.0,-1.0,630.0
2,Bihar,910,Santhal Paragana,1968,-1.0,-1.0,-1.0,634.0
2,Bihar,910,Santhal Parganas,1969,-1.0,-1.0,-1.0,634.0
2,Bihar,910,Santhal Parganas,1970,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1971,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1972,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1973,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1974,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1975,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1976,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1977,-1.0,-1.0,-1.0,4515.0
2,Bihar,910,Santhal Parganas,1978,1.0,-1.0,1.0,4515.0
2,Bihar,910,Santhal Parganas,1979,1.0,-1.0,1.0,4515.0
2,Bihar,910,Santhal Parganas,1980,1.0,-1.0,1.0,4515.0
2,Bihar,910,Santhal Parganas,1981,1.0,-1.0,1.0,4515.0
2,Bihar,910,Santhal Parganas,1982,1.0,-1.0,1.0,4515.0
2,Bihar,910,Santhal Parganas,1983,1.0,-1.0,1.0,4515.0
2,Bihar,910,Santhal Parganas,1984,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1985,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1986,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1987,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1988,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1989,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1990,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1991,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1992,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1993,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal Parganas,1994,9.0,-1.0,9.0,4515.0
2,Bihar,910,Santhal paragan,1995,8.0,65.0,73.0,-1.0
2,Bihar,910,Santhal paragan,1996,8.0,65.0,73.0,-1.0
2,Bihar,910,Santhal paragan,1997,8.0,65.0,73.0,-1.0
2,Bihar,910,Santhal paragan,1998,8.0,65.0,73.0,-1.0
2,Bihar,910,Santhal paragan,1999,8.0,65.0,73.0,-1.0
2,Bihar,911,Shahabad,1966,-1.0,-1.0,-1.0,575.0
2,Bihar,911,Shahabad,1967,-1.0,-1.0,-1.0,575.0
2,Bihar,911,Shahabad,1968,-1.0,-1.0,-1.0,575.0
2,Bihar,911,Shahabad,1969,-1.0,-1.0,-1.0,674.0
2,Bihar,911,Shahabad,1970,-1.0,-1.0,-1.0,-1.0
2,Bihar,911,Shahabad,1971,-1.0,-1.0,-1.0,-1.0
2,Bihar,911,Shahabad,1972,-1.0,-1.0,-1.0,-1.0
2,Bihar,911,Shahabad,1973,4.0,-1.0,4.0,5476.0
2,Bihar,911,Shahabad,1974,5.0,-1.0,5.0,5476.0
2,Bihar,911,Shahabad,1975,6.0,-1.0,6.0,5476.0
2,Bihar,911,Shahabad,1976,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1977,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1978,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1979,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1980,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1981,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1982,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1983,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1984,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1985,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1986,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1987,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1988,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1989,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1990,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1991,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1992,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1993,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1994,8.0,-1.0,8.0,5476.0
2,Bihar,911,Shahabad,1995,8.0,84.0,92.0,-1.0
2,Bihar,911,Shahabad,1996,8.0,84.0,92.0,-1.0
2,Bihar,911,Shahabad,1997,8.0,84.0,92.0,-1.0
